Departement;Ville;Population;Region;
971;Le Gosier;27023;01;
972;Fort-de-France;82030;02;
972;Le Lamentin;40920;02;
973;Cayenne;60947;03;
973;Kourou;26726;03;
973;Matoury;32768;03;
973;Remire-Montjoly;26170;03;
973;Saint-Laurent-du-Maroni;44130;03;
974;Le Port;35141;04;
974;La Possession;33337;04;
974;Saint-André;56088;04;
974;Saint-Benoît;38466;04;
974;Saint-Denis;149337;04;
974;Saint-Joseph;38167;04;
974;Saint-Leu;34160;04;
974;Saint-Louis;53832;04;
974;Saint-Paul;106920;04;
974;Saint-Pierre;85059;04;
974;Sainte-Marie;33587;04;
974;Le Tampon;78366;04;
